,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,a.Team,a.Match Up,a.Game Date,a.W/L,a.PTS,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF,a.+/-
136,SAS,SAS vs. DEN,03/10/2023,W,128,51,94,54.3,13,33,39.4,13,17,76.5,13,37,50,31,10,0,19,20,8,DEN,DEN @ SAS,03/10/2023,L,120,44,90,48.9,13,35,37.1,19,20,95.0,8,25,33,32,14,4,14,14,-8
137,WAS,WAS vs. ATL,03/10/2023,L,107,43,88,48.9,7,27,25.9,14,18,77.8,7,36,43,27,8,6,15,17,-7,ATL,ATL @ WAS,03/10/2023,W,114,42,95,44.2,15,31,48.4,15,19,78.9,13,33,46,25,9,4,14,17,7
138,IND,IND vs. HOU,03/09/2023,W,134,48,100,48.0,18,45,40.0,20,21,95.2,8,34,42,34,12,15,12,21,9,HOU,HOU @ IND,03/09/2023,L,125,49,107,45.8,6,17,35.3,21,29,72.4,20,38,58,18,6,6,17,22,-9
139,MEM,MEM vs. GSW,03/09/2023,W,131,50,93,53.8,18,40,45.0,13,18,72.2,9,33,42,36,6,3,14,18,21,GSW,GSW @ MEM,03/09/2023,L,110,36,82,43.9,15,45,33.3,23,24,95.8,8,24,32,25,9,3,17,17,-21
140,ORL,ORL vs. UTA,03/09/2023,L,124,44,94,46.8,16,34,47.1,20,31,64.5,12,24,36,21,9,4,10,16,-7,UTA,UTA @ ORL,03/09/2023,W,131,49,88,55.7,13,34,38.2,20,21,95.2,11,31,42,27,7,8,18,26,7
141,DET,DET vs. CHA,03/09/2023,L,103,40,89,44.9,7,21,33.3,16,20,80.0,17,31,48,20,5,4,19,22,-10,CHA,CHA @ DET,03/09/2023,W,113,43,86,50.0,8,24,33.3,19,32,59.4,13,31,44,24,11,9,13,18,10
142,MIL,MIL vs. BKN,03/09/2023,W,118,44,104,42.3,19,50,38.0,11,14,78.6,20,41,61,33,8,12,16,14,5,BKN,BKN @ MIL,03/09/2023,L,113,41,104,39.4,14,36,38.9,17,17,100.0,15,32,47,20,10,4,14,12,-5
143,SAC,SAC vs. NYK,03/09/2023,W,122,44,84,52.4,10,32,31.3,24,32,75.0,6,36,42,28,10,3,12,21,5,NYK,NYK @ SAC,03/09/2023,L,117,42,101,41.6,13,50,26.0,20,31,64.5,23,35,58,27,8,1,14,25,-5
144,WAS,WAS vs. ATL,03/08/2023,L,120,47,83,56.6,12,29,41.4,14,17,82.4,6,33,39,34,9,1,19,16,-2,ATL,ATL @ WAS,03/08/2023,W,122,45,85,52.9,12,29,41.4,20,26,76.9,8,28,36,26,11,5,11,17,2
145,BOS,BOS vs. POR,03/08/2023,W,115,42,88,47.7,18,49,36.7,13,20,65.0,5,40,45,26,9,2,11,20,22,POR,POR @ BOS,03/08/2023,L,93,30,82,36.6,11,39,28.2,22,27,81.5,6,41,47,18,5,2,16,19,-22
146,NOP,NOP vs. DAL,03/08/2023,W,113,42,83,50.6,13,27,48.1,16,18,88.9,9,40,49,32,4,6,15,19,7,DAL,DAL @ NOP,03/08/2023,L,106,38,88,43.2,16,46,34.8,14,19,73.7,5,29,34,24,7,0,9,18,-7
147,MIA,MIA vs. CLE,03/08/2023,L,100,35,70,50.0,8,29,27.6,22,29,75.9,10,27,37,22,7,4,24,19,-4,CLE,CLE @ MIA,03/08/2023,W,104,39,80,48.8,9,28,32.1,17,19,89.5,7,25,32,26,13,3,17,23,4
148,PHX,PHX vs. OKC,03/08/2023,W,132,49,94,52.1,20,43,46.5,14,16,87.5,14,40,54,31,10,7,15,17,31,OKC,OKC @ PHX,03/08/2023,L,101,33,88,37.5,15,43,34.9,20,21,95.2,7,30,37,23,9,2,16,13,-31
149,DEN,DEN vs. CHI,03/08/2023,L,96,37,88,42.0,15,40,37.5,7,15,46.7,11,33,44,26,5,2,11,16,-21,CHI,CHI @ DEN,03/08/2023,W,117,46,89,51.7,8,24,33.3,17,18,94.4,9,41,50,26,9,2,9,16,21
150,LAC,LAC vs. TOR,03/08/2023,W,108,39,71,54.9,6,20,30.0,24,31,77.4,9,35,44,23,9,4,17,18,8,TOR,TOR @ LAC,03/08/2023,L,100,37,96,38.5,13,32,40.6,13,14,92.9,15,26,41,21,12,2,12,23,-8
151,ORL,ORL vs. MIL,03/07/2023,L,123,50,100,50.0,9,30,30.0,14,19,73.7,10,28,38,24,7,0,13,22,-11,MIL,MIL @ ORL,03/07/2023,W,134,46,78,59.0,10,28,35.7,32,34,94.1,3,35,38,28,5,5,17,18,11
